"Avery 100 C","100-c","#f7ef7d"
"Avery Yellow C","yellow-c","#fbd500"
"Avery 109 C","109-c","#f7ce00"
"Avery 123 C","123-c","#fac629"
"Avery 124 C","124-c","#e6a900"
"Avery 155 C","155-c","#f1daae"
"Avery 137 C","137-c","#f69d00"
"Avery 151 C","151-c","#f17600"
"Avery 165 C","165-c","#f0630a"
"Avery Orange 021 C","orange-021-c","#f05b00"
"Avery Warm Red C","warm-red-c","#e5482c"
"Avery 179 C","179-c","#dc3d2c"
"Avery 169 C","169-c","#ffbbae"
"Avery Red 032 C","red-032-c","#da3d3d"
"Avery 185 C","185-c","#d93c44"
"Avery 186 C","186-c","#cc293c"
"Avery 193 C","193-c","#b90e34"
"Avery 200 C","200-c","#bd203b"
"Avery 201 C","201-c","#94222e"
"Avery 188 C","188-c","#7a2831"
"Avery 209 C","209-c","#6f2939"
"Avery 189 C","189-c","#f5aabf"
"Avery 207 C","207-c","#a51238"
"Avery 220 C","220-c","#a31c50"
"Avery 208 C","208-c","#8d2542"
"Avery 211 C","211-c","#f387b7"
"Avery 254 C","254-c","#913498"
"Avery 292 C","292-c","#7bbbe4"
"Avery 279 C","279-c","#639dde"
"Avery 290 C","290-c","#c6ddea"
"Avery 285 C","285-c","#2d89d3"
"Avery 293 C","293-c","#005fb7"
"Avery 541 C","541-c","#004371"
"Avery 281 C","281-c","#003069"
"Avery 297 C","297-c","#8cd3f1"
"Avery 299 C","299-c","#15aedb"
"Avery 542 C","542-c","#629cc6"
"Avery 301 C","301-c","#005c93"
"Avery 540 C","540-c","#003253"
"Avery 307 C","307-c","#0080b4"
"Avery 549 C","549-c","#629eaf"
"Avery 308 C","308-c","#006281"
"Avery 302 C","302-c","#004d71"
"Avery 548 C","548-c","#004653"
"Avery 317 C","317-c","#c4e7e6"
"Avery 326 C","326-c","#00b7ac"
"Avery 320 C","320-c","#00a2a9"
"Avery 315 C","315-c","#007388"
"Avery 321 C","321-c","#008a8c"
"Avery 327 C","327-c","#008873"
"Avery 328 C","328-c","#007966"
"Avery 340 C","340-c","#00935d"
"Avery 341 C","341-c","#007b50"
"Avery 343 C","343-c","#13543b"
"Avery 351 C","351-c","#afe4bd"
"Avery 354 C","354-c","#00ad36"
"Avery 368 C","368-c","#6db80b"
"Avery 347 C","347-c","#00a04c"
"Avery 355 C","355-c","#00962a"
"Avery 348 C","348-c","#00883f"
"Avery 349 C","349-c","#006d37"
"Avery 877 C","877-c","#9da1a2"
"Avery 428 C","428-c","#cccfcd"
"Avery 429 C","429-c","#b0b4b3"
"Avery 430 C","430-c","#8e9495"
"Avery 431 C","431-c","#697176"
"Avery 432 C","432-c","#4f575c"
"Avery 873 C","873-c","#8a6c39"
"Avery 423 C","423-c","#929490"
"Avery 424 C","424-c","#7c7d7a"
"Avery 404 C","404-c","#776f62"
"Avery 410 C","410-c","#7a6a62"
"Avery 425 C","425-c","#5c5d5b"
"Avery 468 C","468-c","#e0d8bb"
"Avery 466 C","466-c","#cbba8b"
"Avery 472 C","472-c","#e3a06f"
"Avery 471 C","471-c","#b5571b"
"Avery 154 C","154-c","#955207"
"Avery 470 C","470-c","#954a1a"
"Avery 469 C","469-c","#5b301c"