"DRAKA POLYA Blanche 0223","draka-polya-blanche-0223","#f7f4f2"
"DRAKA POLYA Albino 0203","draka-polya-albino-0203","#eaeaeb"
"DRAKA POLYA Alpine 0202","draka-polya-alpine-0202","#f7f1e9"
"DRAKA POLYA Chamois 0351","draka-polya-chamois-0351","#dcdad5"
"DRAKA POLYA Stern 0350","draka-polya-stern-0350","#cccdcb"
"DRAKA POLYA Misty 0311","draka-polya-misty-0311","#babab9"
"DRAKA POLYA London 0392","draka-polya-london-0392","#9a9b9b"
"DRAKA POLYA Silver-Toledo 1350","draka-polya-silver-toledo-1350","#a0a1a0"
"DRAKA POLYA Elephant 0393","draka-polya-elephant-0393","#78797b"
"DRAKA POLYA Antras 0309","draka-polya-antras-0309","#515355"
"DRAKA POLYA Nero 0408","draka-polya-nero-0408","#414142"
"DRAKA POLYA Peath 1543","draka-polya-peath-1543","#fabda5"
"DRAKA POLYA Lobster 0625","draka-polya-lobster-0625","#e27461"
"DRAKA POLYA Starlet 0569","draka-polya-starlet-0569","#cb547f"
"DRAKA POLYA Lipstick 1544","draka-polya-lipstick-1544","#a14358"
"DRAKA POLYA Mulberry 0538","draka-polya-mulberry-0538","#714558"
"DRAKA POLYA Caracas 0733","draka-polya-caracas-0733","#653f3c"
"DRAKA POLYA Port 0513","draka-polya-port-0513","#5b373b"
"DRAKA POLYA Bordo 0597","draka-polya-bordo-0597","#713b41"
"DRAKA POLYA Carmon 0510","draka-polya-carmon-0510","#9e363b"
"DRAKA POLYA Toro 0596","draka-polya-toro-0596","#b64347"
"DRAKA POLYA Pirate 0507","draka-polya-pirate-0507","#c84541"
"DRAKA POLYA Electric 1965","draka-polya-electric-1965","#d5d744"
"DRAKA POLYA Yell 0835","draka-polya-yell-0835","#f8e752"
"DRAKA POLYA Solino 0801","draka-polya-solino-0801","#f7c549"
"DRAKA POLYA Mais 0813","draka-polya-mais-0813","#f2be63"
"DRAKA POLYA Verano 0800","draka-polya-verano-0800","#ffaf00"
"DRAKA POLYA Ibiza 0836 ","draka-polya-ibiza-0836","#f7a82c"
"DRAKA POLYA Dino 0807","draka-polya-dino-0807","#eb983c"
"DRAKA POLYA Capri 0603","draka-polya-capri-0603","#e27739"
"DRAKA POLYA Jaffa 0602","draka-polya-jaffa-0602","#d76238"
"DRAKA POLYA Oran 0601","draka-polya-oran-0601","#d55741"
"DRAKA POLYA Cremlin 0515","draka-polya-cremlin-0515","#c5443d"
"DRAKA POLYA Casata 1966","draka-polya-casata-1966","#6cbb94"
"DRAKA POLYA Jade 0914","draka-polya-jade-0914","#00977a"
"DRAKA POLYA Country 0969","draka-polya-country-0969","#00915a"
"DRAKA POLYA Berlin 0927","draka-polya-berlin-0927","#297a56"
"DRAKA POLYA Olivo 0952","draka-polya-olivo-0952","#5d6550"
"DRAKA POLYA Flora 0950","draka-polya-flora-0950","#41524d"
"DRAKA POLYA Cactus 1967","draka-polya-cactus-1967","#3a5b52"
"DRAKA POLYA Tundra 0951","draka-polya-tundra-0951","#2d6c54"
"DRAKA POLYA Avocado 0919","draka-polya-avocado-0919","#557949"
"DRAKA POLYA Herald 0908","draka-polya-herald-0908","#3f8043"
"DRAKA POLYA Spring 0909","draka-polya-spring-0909","#66ae5b"
"DRAKA POLYA Brise 1922","draka-polya-brise-1922","#80b9ab"
"DRAKA POLYA Turko 1017","draka-polya-turko-1017","#008590"
"DRAKA POLYA Messina 1185","draka-polya-messina-1185","#079cb4"
"DRAKA POLYA Palma 1020","draka-polya-palma-1020","#45a6c3"
"DRAKA POLYA Adonis 1026","draka-polya-adonis-1026","#bad7e4"
"DRAKA POLYA Levico 1167","draka-polya-levico-1167","#0a81ac"
"DRAKA POLYA Aqua 1025","draka-polya-aqua-1025","#2f83b3"
"DRAKA POLYA Grape 1103","draka-polya-grape-1103","#6280a5"
"DRAKA POLYA Rimini 1028","draka-polya-rimini-1028","#4f7bb5"
"DRAKA POLYA Viola 1032","draka-polya-viola-1032","#675199"
"DRAKA POLYA Cosmic 1427","draka-polya-cosmic-1427","#414fa4"
"DRAKA POLYA Delta 1027","draka-polya-delta-1027","#90b7e0"
"DRAKA POLYA Nautic 1407","draka-polya-nautic-1407","#0092ca"
"DRAKA POLYA Lugano 1084","draka-polya-lugano-1084","#2e71b8"
"DRAKA POLYA Como 1064","draka-polya-como-1064","#2c669b"
"DRAKA POLYA Lido 1068","draka-polya-lido-1068","#365985"
"DRAKA POLYA Empire 1104","draka-polya-empire-1104","#414769"
"DRAKA POLYA Portofino 1108","draka-polya-portofino-1108","#324d6a"
"DRAKA POLYA Palermo 1070","draka-polya-palermo-1070","#36476b"
"DRAKA POLYA Azur 1065","draka-polya-azur-1065","#3b495f"
"DRAKA POLYA Marino 1066","draka-polya-marino-1066","#3e444c"
"DRAKA POLYA Oyster 1310","draka-polya-oyster-1310","#ded7c8"
"DRAKA POLYA Porcelain 1311","draka-polya-porcelain-1311","#c4bcb3"
"DRAKA POLYA Tabac 0717","draka-polya-tabac-0717","#544037"
"DRAKA POLYA Raisin 1736","draka-polya-raisin-1736","#534742"
"DRAKA POLYA Espresso 0711","draka-polya-espresso-0711","#4d4644"
"DRAKA POLYA Cigar 1735","draka-polya-cigar-1735","#81533d"
"DRAKA POLYA Bronze-Toledo 1850","draka-polya-bronze-toledo-1850","#a1805e"
"DRAKA POLYA Veranda 0792","draka-polya-veranda-0792","#9a7151"
"DRAKA POLYA Madras 0718","draka-polya-madras-0718","#b6987b"
"DRAKA POLYA Roma 0103","draka-polya-roma-0103","#ecdec7"